id,gender_recommendations,accuracy_vs_disparity,computers_vs_humans,black_boxes,compas_unfair,gender
3bb519bed7e3525d593cc4bd8e1eb583,1.0,4.0,2.0,2.0,6.0,Female
119065eeedb535a2124a4bfa5d9401a1,1.0,6.0,5.0,1.0,6.0,Male
f1e21497d782e65d82465f8338766da8,2.0,5.0,2.0,3.0,4.0,Female
3a40ba1113089069e34b14a3b65aaf38,1.0,4.0,5.0,2.0,6.0,Male
d8dac7f07f08bb9e6b71855048513ee6,2.0,5.0,4.0,2.0,5.0,Male
a49281f3a587bf687b8c201702917fad,2.0,5.0,4.0,2.0,5.0,Male
627359df525d123942e48c8dc7649f34,2.0,2.0,6.0,3.0,5.0,Male
ab6a6905984f82590e4b8d3a62e0a152,2.0,6.0,4.0,2.0,5.0,Male
346071f53ab020593a3b852463fc8c9e,1.0,7.0,1.0,5.0,6.0,Male
accdda91016eeca61f71012f4ea87555,2.0,2.0,5.0,3.0,2.0,Male
fcd65d4a77bcc16b2fc97bc8f593a73a,1.0,4.0,2.0,3.0,6.0,Male
fbbec0e5233af777c7cd5b5b3bc58507,1.0,5.0,5.0,4.0,5.0,Male
cd316f78a05d5c9ab6fae0e7aca73d8f,5.0,4.0,1.0,1.0,3.0,Male
b25c802eceb3258dda37225f11e499fa,2.0,4.0,5.0,3.0,4.0,Male
93a2b9b1e8fc08263d52cbed10fefded,1.0,4.0,5.0,2.0,5.0,Male
7bc8ea36c9b2d1ef21f68e25289f0c15,3.0,5.0,6.0,2.0,6.0,Male
cc6bc323d6693b623a39c7b9ab209722,4.0,6.0,3.0,6.0,5.0,Male
